lookalike_address,mimics_address,mimics_label,mimics_category,funder_txs_to_lookalike,misdirected_inbound_txs,misdirected_egld
erd1gyauk5ztpfpprk4fe5mkq8lty8e50zfzfkcdldx83vkjw3tqavlqfxuj0d,,OPERATOR / FUNDER of all lookalikes (nonce 22034),funder,,,
erd1re0ddthlgf6dfzf298af2ml7spgdfj6j0kruz7z34zjg0rq88xqqa570kg,,Funded the operator with 5.46 EGLD,upstream_funder,,,
erd1p4pc255y4yjmtkx7l6epl4wuymcsu2rj66v2tz4svqu02pae38zs4du7lw,erd1p4vy5n9mlkdys7xczegj398xtyvw2nawz00nnfh4yr7fpjh297cqtsu7lw,Gate.io,exchange,260,0,0
erd1tyfnsaztlnrt4dfr979mw06xfftkhf3gz9vez4wpguaq543k9e3qkykdyy,erd1ty4pvmjtl3mnsjvnsxgcpedd08fsn83f05tu0v5j23wnfce9p86snlkdyy,KuCoin,exchange,249,0,0
erd1fcelax0c8846srrvu33gpwh9ayuz5ghqftlzt8u64tkgq8glcg5qrk0q49,erd1fcxu3f0hlxyvnp7zvuqmf34zf5w782tst6vuqhm4dwq4ayjspdaqce0q49,UPbit,exchange,232,0,0
erd1hzr3pt0e78u0cpngquvwf5c8x6ugfssvz3jytxhcf63k3msk6n6s46u8h4,erd1hzccjg25yqaqnr732x2ka7pj5glx72pfqzf05jj9hxqn3lxkramq5zu8h4,Crypto.com,exchange,148,0,0
erd1m9sqkl035jk73qwfcnv6fjk6ydefrg2at7qtx22g905ytm9vw8pqsm9dc3,erd1m9qn6gvercs6ksvtn924w4y7z9ppglyfugpu34al26t9u4mvzvqqlq9dc3,Coinbase (secondary),exchange,70,0,0
erd1qrcfmlsvepq3q53kq25gcx208cr5c25kje3lh2zy8d42p9ukcvqq34zktc,erd1qr9av6ar4ymr05xj93jzdxyezdrp6r4hz6u0scz4dtzvv7kmlldse7zktc,Crypto.com,exchange,35,0,0
erd1rarw5w5mryday4xwqdxu0049k9swqvw3qeastvkq9p9vffe8nzpqqn3lhf,erd1ra67nmtcuagw2y73sca7fzgh66yemtslvshfz77z9tep9qx5swvsv23lhf,Tokero,exchange,1,0,0
erd1hlt6xkjluuzl434cf6tcmaleft76pw78ppgyq5e5pa4tjjqhr99st7vqmy,erd1hl5y4ahk2a52rf4znn69a62w8skjputp7h3wxfsyyq3kykj0j2uqt7vqmy,Unknown Whale,other,588,0,0
erd1vdpfqqjaahnnk4ndla2e3xhd5fc50qj6mvgpu6ywhpre00ndna3qhfm3z0,erd1vd76pwhl4dyeyd8gylv6mkkvy7g4dnfezjuyp4j4x3wwnauga57q53m3z0,Unknown Whale I (active),other,311,0,0
erd1v6k4dxe72tg0d43pvxrhq0zhlg0z5p0r4jeww2wtazv8kjn0cugsryxnk5,erd1v6x9egd2j5cmr57cugxukfnn647q2zuy57nu68t0y6qpu6ztaypshcxnk5,UPbit OTC Desk,other,219,0,0
erd1z7wyqlr64qhr5k3wu9qa4d6c6wszxx8s5n9qc7067ds9f9pv3stqppm63r,erd1z7fnqf4mjknsx289t9qf9kv5yr2fts7uv8ssmuknq7546f8e6ceq2nm63r,OTC Distribution Wallet (coordinated with UPbit OTC Desk),other,212,0,0
erd1cw30l468rvqjx28z647psxl0edt8cvkhgh24q20tpcettwjpyhvq30kuwf,erd1cwkw3qlv4m30dp2gnxed5azy4224ennwfnldvs8rf5jekr6ca4ls4kkuwf,OTC→Binance Router 2 (nonce 3924),exchange_router,91,0,0
erd1ck0xuna8tmesch822mfmd9ajpevqz5m5xjysvd3k42uhwlzhpm3s422r0d,erd1ckh3v9fveeh4tn22rpeheuu3tkt9qfp9gfj8ln3ewc8jfupdmtaswd2r0d,OTC->Binance Router 3 (nonce 827),exchange_router,86,0,0
erd17lu8khltvppgs4gc4z8lmsgx43z5kugcsuwc590a3syvfnhlls4slydveh,erd17l22xekj5lvfulatz20xr0llxky6c8zr923r95qg3pfx668m862skjdveh,Unknown Whale (OTC SOURCE confirmed run #8; -26K distributed via erd1nhtq4→erd1ecyftln→OTC Distribution+UPbit OTC; funding source still TBD),whale,68,0,0
erd1qk09jgu373ss9hjry2rgnfxnyy9zq5un4zj2sh23parpmy7a5x0s98zlgy,erd1qkazru7aw5heycg7c79lwmcnnczgjj2td2dg8j574h586ahwkptq20zlgy,Unknown Whale I - second operator wallet (erd1qkazru7aw5),whale,61,0,0
erd1zx8q3h9pgkvdqjsz8drk8830tk27ld4yfra2tc496hudhnswz7dq0k2rek,erd1zxlumw5tw2wuc8yrfktea0hy6a7p0lk770h8nf8ktzkgy8fzslvqjy2rek,OTC Desk->Bybit Router (run #22),router,58,0,0
erd1ddeq5xd3mwkpw8aue6pww37mszp835qxdrv3llxevhkrdenynmpqz4fy3a,erd1ddqnajzw7qk6s0l9r0gwejq0jtqya6fl40aqhg2u8jmgxrej3n6qt8fy3a,OTC->Binance Router 4 (nonce 61),exchange_router,52,0,0
erd1ljkpy0tly52wcj76rrc00et2rh670ufzmjrhv9anzddda5f5xjtsft33kp,erd1ljlcx0wflzwvppyq8vfngs4ryaefvl9ruj7n75q467znw4k9c5dsht33kp,"Bidirectional Router (Binance↔Bybit, nonce 573)",exchange_router,46,0,0
erd1ky44ahwezxptrt34xq04ju7l3nkltl2r8e206e5pvnh6hxtkzvwqyk8pf2,erd1kyc7l2pgc9j46jg0zknqfwxrxtn3nkas05war97rjcwl0rhh3hms548pf2,OTC Desk->Gate.io Router (run #22),router,45,0,0
erd1w7k44hwgrayuke3tqm30s5vymvrn36ra7h85pr5qrpd688k02w0svsvd36,erd1w7nlmeapqp2qv5vkzw23mlmp46ckkg96rk4e8e435v0pku57e8cqdqvd36,OTC->Bybit Router 4 (nonce 904),exchange_router,31,0,0
erd1dmw4uazjkzmwgw045mpu48uaggx9yy3u37mj94hmzqzqyq8l7esq2y037g,erd1dmaxfyp426yr6dtjy9cs3xchnse67rnhtlh8ylnapauhhuj254dskg037g,Bybit->OTC Desk Feeder (run #22),router,23,0,0
erd1g634829l6lsf09dvnyl8lclxykd0efx6zfs0w8r0vku6kwnrdwxq975nyc,erd1g6fntjtzv4s2mx3txffamtxymgn22g2d3pkn2yjg77aj27svaszq2r5nyc,OTC->Bybit Router 6 (nonce 507),exchange_router,22,0,0
erd1nhayzhlq600c50dlchku3q5es7ej5gqf0dr7p5ruyrxsswu52pxqglc2gu,erd1nhtq4mj3jzlz35l6szpkp0cagss803l6crwq8zjjpuykfsxwj0dsg2c2gu,"OTC Source-Chain Router (erd17l22 distribution, nonce 2543)",exchange_router,20,0,0
erd165d8qsgtdxllawd43vxjkgcwyl45t5nc0pu4lgptds0q5hcpvzdq40lctp,erd165fvqwhc5j574h0kcu2s82zfaptd7qkcgyx0vgt6m9mvs5ytfgcq4qlctp,OTC Desk->Unknown Whale I (active) Router (run #24),router,18,0,0
erd1g8vapmlzuu23s7t4uqlsf65y8eqs7yj87vtr2v05l4fjex97wqhqame8we,erd1g8ll9qrhmevdhjmtk8q02klu8a6q8z7xk0aqml7vncvpxdjwrdgq5ve8we,"OTC→Bybit Router (UPbit-side, nonce 150)",exchange_router,18,0,0
erd150myjwxvyagjtfemr0u40l06ktxr307sgtvu2mxxut3myfnc2hdqq2sw4z,erd1509av9juu0f2sru8jpq8ax40w8hh5gedl90w3azdunr7gq330awqz8sw4z,OTC Desk->Gate.io Router (run #23),router,17,0,0
erd1krqz88gsvgndx5ujftpra252aqwzy2egp8jkddgdam2qfp9s503qdrvd3m,erd1krmy7xldg3ssmw2r72pdecrg52kvc3wlukuqwjesepgrf6fu053q6gvd3m,OTC Desk->Binance.com Router (run #23),router,17,0,0
erd1e9a8dlvfsj3zur7t7naalnwdyl5avcp08aksmyflcurspwykq7csz5wm5a,erd1e9luc4ynhpsya80rplukemy6cy6k08229pa3tp6h9484x0pll5usatwm5a,OTC->Bybit Router 5 (nonce 302),exchange_router,17,0,0
erd1f4el9374mjk6mta8ldd4cwjpl6p4sxdfdcn06cekahwavwujd7zqsrgnj3,erd1f4kcxxn42wc0rjlqhvkj5s0rcyn4zygl89emdke6t6prs3s6cjnst6gnj3,OTC Desk->Binance.com Router (run #25),router,16,0,0
erd1a6p7p9ldxnsc0gh6vwk98qxgjn2qlyq53kg7tn520whm2x6cca2sm98u4l,erd1a6lte0wqwwdjtt0nvv62c6pacltznzgq93gjxu6el44cx6lqx3fsu48u4l,Probable exchange hot wallet (unnamed venue),unknown,15,0,0
erd12tv6s8pza0ltnxs2lssflga7s3hshe2mcdvxl2puqj8jugmg0hms3saujp,erd12tq6ax5k49dkp4lwmuvdv8sa9df5mqjnrv2mmjnxkv4m5ns562vsmtaujp,"Binance → OTC Source Funder (canonical, verified pass-through)",exchange_router,15,0,0
erd10ffeza6vy0aulfzp80katzvhpaztze5h7sm6z6adjvgl6jeeupss32ydck,erd10f38t4mcv62na4a65an3fp3q2t0e79hxk8reedr8asurq7qr633q9xydck,OTC Desk->Gate.io Router (run #24),router,14,0,0
erd1rj64vepvrqc75ass0kj87gh6hex89ayul7le04pgfdvx04cfwjxs3pfx0c,erd1rjkvjatu8js0aegc4m2mxu9f3655ldazgjku6qsrwv6d929y7trqqwfx0c,OTC Desk->Gate.io Router (run #24),router,13,0,0
erd1xa2apmsr7fa0hv07eutkkznc2rng0vd6lqr6elkwl9hpl03t0p9saaw98u,erd1xalmznlxmyg0nttygl4da2l9z7vqk8u3z9nw7enngacq05ruaa5qs4w98u,OTC Desk->Gate.io Router (run #24),router,12,0,0
erd1kt49drt55xgwfc967ysxm7a4aax8nracu6z6fltrgvw2tg4pskpqunta6f,erd1ktcvmyd6u6k664stv6ktch270c0wry26nffmc64vslnqxc2qjyfszdta6f,OTC Desk->Gate.io Router (run #24),router,11,0,0
